capital_from,capital_to,distance_km
Hargeisa,Hargeisa,0.0
Hargeisa,King Edward Point,10255.73
Hargeisa,Port-aux-Français,7007.29
Hargeisa,Jerusalem,2622.94
Hargeisa,Mariehamn,5960.23
Hargeisa,Yaren,13632.37
Hargeisa,Marigot,11465.54
Hargeisa,Atafu,16096.39
Hargeisa,El-Aaiún,6300.18
Hargeisa,Kabul,3768.46
Hargeisa,Tirana,4249.02
Hargeisa,Algiers,5105.14
Hargeisa,Pago Pago,16217.64
Hargeisa,Andorra la Vella,5514.6
Hargeisa,Luanda,3976.45
Hargeisa,The Valley,11458.18
Hargeisa,Saint John's,11365.38
Hargeisa,Buenos Aires,11772.23
Hargeisa,Yerevan,3392.25
Hargeisa,Oranjestad,12347.37
Hargeisa,Canberra,11988.27
Hargeisa,Vienna,5007.46
Hargeisa,Baku,3464.12
Hargeisa,Nassau,12609.89
Hargeisa,Manama,1970.37
Hargeisa,Dhaka,5161.03
Hargeisa,Bridgetown,11234.79
Hargeisa,Minsk,5134.08
Hargeisa,Brussels,5840.29
Hargeisa,Belmopan,14051.09
Hargeisa,Porto-Novo,4577.52
Hargeisa,Hamilton,11177.43
Hargeisa,Thimphu,5168.82
Hargeisa,La Paz,12670.45
Hargeisa,Sarajevo,4538.43
Hargeisa,Gaborone,4264.5
Hargeisa,Brasilia,10510.49
Hargeisa,Road Town,11612.27
Hargeisa,Bandar Seri Begawan,7834.01
Hargeisa,Sofia,4190.58
Hargeisa,Ouagadougou,4984.7
Hargeisa,Rangoon,5689.47
Hargeisa,Bujumbura,2167.68
Hargeisa,Phnom Penh,6653.36
Hargeisa,Yaounde,3649.28
Hargeisa,Ottawa,11468.2
Hargeisa,Praia,7350.61
Hargeisa,George Town,13247.55
Hargeisa,Bangui,2870.66
Hargeisa,N'Djamena,3184.02
Hargeisa,Santiago,12884.58
Hargeisa,Beijing,7830.01
Hargeisa,The Settlement,7177.21
Hargeisa,West Island,6313.13
Hargeisa,Bogota,12997.43
Hargeisa,Moroni,2351.72
Hargeisa,Kinshasa,3538.69
Hargeisa,Brazzaville,3537.16
Hargeisa,Avarua,17170.96
Hargeisa,San Jose,13896.75
Hargeisa,Yamoussoukro,5438.56
Hargeisa,Zagreb,4825.94
Hargeisa,Havana,13162.68
Hargeisa,Willemstad,12242.34
Hargeisa,Nicosia,3037.81
Hargeisa,Prague,5256.47
Hargeisa,Copenhagen,5808.1
Hargeisa,Djibouti,245.53
Hargeisa,Roseau,11366.94
Hargeisa,Santo Domingo,12145.77
Hargeisa,Quito,13590.29
Hargeisa,Cairo,2630.99
Hargeisa,San Salvador,14261.3
Hargeisa,Malabo,3949.47
Hargeisa,Asmara,847.64
Hargeisa,Tallinn,5768.4
Hargeisa,Addis Ababa,590.56
Hargeisa,Stanley,11656.26
